,index,name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
130,130,제주불빛정원,0.3363333333333333,0.5509733333333333,0.3363333333333333,0.3363333333333333,0.8024666666666666,0.3363333333333333,1.091453333333333,0.3363333333333333,3.3
131,131,제주시민속오일시장,0.4316666666666667,0.5302618666666666,0.8140178666666668,0.4573157333333333,0.4316666666666667,0.4316666666666667,0.5029056000000001,0.4554208,4.2
132,132,제주요도자기문화박물관,0.451,0.451,0.451,0.451,0.69286,0.451,0.451,0.451,4.5
133,133,제주웰컴센터,0.4348333333333333,0.4348333333333333,0.4348333333333333,0.4348333333333333,0.4348333333333333,0.4348333333333333,2.2742733333333334,0.6765399999999999,4.3
134,134,제주추사관,0.4348333333333333,0.4348333333333333,0.4348333333333333,1.1132333333333335,0.4348333333333333,0.4348333333333333,0.4348333333333333,0.4348333333333333,4.3
135,135,제주평화박물관,0.4739318,0.44,0.44,0.4577534,0.4569302,0.4758238999999999,0.44,0.4578227,4.3
136,136,제주항공우주박물관,0.453,0.5706163200000001,0.453,0.47751168,0.55851168,0.4761868800000001,0.5270275200000001,0.4777190400000001,4.3
137,137,제주항일기념관,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,3.0
138,138,조랑말체험공원,0.6224303,0.4523351,0.41,0.4967459,0.41,0.41,0.41,0.5935184,4.0
139,139,조안베어뮤지엄,0.4196666666666667,0.4196666666666667,0.8832133333333334,1.1163599999999998,0.6377733333333333,0.4196666666666667,0.4196666666666667,0.8624666666666667,4.2
140,140,중문마린파크퍼시픽랜드,0.5305989333333333,0.7543581333333332,0.5339309333333333,0.4383333333333333,0.4383333333333333,0.4383333333333333,0.4911917333333333,0.4383333333333333,4.2
141,141,중문색달해변,0.606496888888889,0.4661111111111111,0.5060406666666667,0.5315891111111112,0.5649231111111112,0.5568093333333334,0.4661111111111111,0.6673813333333334,4.2
142,142,지니어스로사이,0.465,0.465,0.465,0.8777652,0.465,0.5995356000000001,0.465,0.557961,4.6
143,143,천아계곡,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
144,144,천지연폭포,0.75064737504,0.6773297491200001,0.70330704816,0.71298472848,0.74582742144,0.77323544208,0.67144205808,0.74972038128,4.2
145,145,초콜릿랜드,0.23,0.2372441,0.2608169,0.2687459,0.23,0.2373323,0.2461109,0.2529707,2.2
146,146,초콜릿박물관,0.345,0.345,0.3880032,0.4665024,0.345,0.345,0.3903072,0.345,3.4
147,147,카멜리아힐,0.5524447750000001,0.4970754812499999,0.46812225625,0.4525,0.5284647249999999,0.49689064375,0.4525,0.4525,4.1
148,148,카페글렌코,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,4.0
149,149,코코몽에코파크,0.5258404,0.6308199999999998,0.415,0.415,0.415,0.415,0.415,0.415,4.1
150,150,테디베어박물관제주,0.5083333333333333,0.6077430847736625,0.5194338304526748,0.5623929481481481,0.5445934683127571,0.5400394074074073,0.5152758847736625,0.5264092510288065,3.7
151,151,테마파크프시케월드,0.385,0.5202231999999998,0.5355112000000001,0.8221696,0.6570256,0.385,0.385,0.385,3.8
152,152,테지움제주,0.4075,0.4618307499999999,0.4075,0.465307,0.465685,0.4075,0.439356625,0.436143625,3.9
153,153,트릭아이미술관,0.4045,0.7980229629629629,0.4045,0.4045,0.5358807407407407,0.682808148148148,0.4045,0.4045,4.0
154,154,파크써던랜드,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,4.7
155,155,표선해비치해변,0.4639327999999999,0.4216666666666667,0.4643989333333333,0.4657922666666667,0.4629295999999999,0.6359613333333333,0.4216666666666667,0.688452,3.7
156,156,피규어뮤지엄제주,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,3.0
157,157,한담공원,0.6491545,0.46,0.5121778,0.7522447000000001,0.5064208,0.599479,0.46,0.7499190999999998,4.1
158,158,한담해안산책로,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,4.6
159,159,한라수목원,0.533081296,0.451,0.479854144,0.451,0.570063088,0.5900808160000001,0.4777510239999998,0.531196768,4.5
160,160,한라산국립공원,0.7326054989619378,0.6628424442906575,0.6540530173010382,0.6679906103806229,0.73137904083045,0.7098892871972319,0.6540638256055364,0.7159462041522493,5.0
161,161,한라산성판악,0.5466774285714285,0.4965894285714285,0.519752,0.5253285714285714,0.5890485714285714,0.603986,0.5358714285714286,0.5856011428571429,4.3
162,162,한림공원,0.5525362993197278,0.5802528789115645,0.5542091727891155,0.6058182340136054,0.6512541278911563,0.649213344217687,0.5541542911564625,0.6521186829931972,4.7
163,163,함덕서우봉해변,0.7022112524453693,0.6285098272632673,0.6248814206035379,0.6291194260145682,0.7054002193548387,0.7531053140478667,0.6153591246618106,0.7143184233090532,4.5
164,164,항파두리항몽,0.4177857142857143,0.4177857142857143,0.4177857142857143,0.4177857142857143,0.5950330612244897,0.4177857142857143,0.4177857142857143,0.4177857142857143,4.3
165,165,해녀박물관,0.5155522560000001,0.513495552,0.4753616640000001,0.516977472,0.5141969279999999,0.4734072960000001,0.453,0.5132434559999999,4.6
166,166,헬로키티아일랜드,0.383,0.5077594400000001,0.47786288,0.4012779199999999,0.43809944,0.4365982400000001,0.42095336,0.42101816,4.1
167,167,협재해수욕장,0.6723919413333334,0.6371082613333333,0.6251393866666666,0.6703264480000001,0.6422868266666666,0.6833104906666666,0.596,0.7980865493333333,4.3
168,168,협재굴,0.4005,0.4005,0.4005,2.4633000000000003,0.4005,0.4005,0.4005,2.36934,3.6
169,169,혼인지,0.2681666666666666,0.2681666666666666,0.2681666666666666,0.2681666666666666,0.2681666666666666,0.2681666666666666,0.2681666666666666,0.2681666666666666,4.5
170,170,환상숲곶자왈공원,0.4649999999999999,0.4649999999999999,0.4649999999999999,0.8745744,0.551256,0.5440176,0.4649999999999999,0.9639312,4.0
171,171,황우지,0.499603088,0.465613136,0.4668618560000001,0.783906704,0.482620496,0.516738416,0.449,0.924527024,2.7
172,172,휴애리자연생활공원,0.435,0.606712,0.435,0.435,0.4839386666666666,0.435,0.568488,0.435,4.6
173,173,흑돼지거리,0.4505218775510203,0.4392857142857143,0.6026949795918367,0.4627170612244897,0.4620988163265306,0.4616960816326531,0.5301380816326531,0.4961777142857143,4.2
