name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
9.81파크,0.452,0.57359,0.452,0.452,0.452,0.452,0.452,0.452,4.5
성이시돌목장,0.5292266666666667,0.43166666666666675,0.7516186666666668,0.6358146666666668,0.43166666666666675,0.43166666666666675,0.43166666666666675,0.6083346666666667,4.2
제주도립미술관,0.44500000000000006,0.44500000000000006,0.44500000000000006,1.2785487999999998,0.6184528000000001,0.6078736000000001,0.6024399999999999,0.7992400000000001,4.4
가파도,0.5296066666666667,0.5310766666666668,0.64996,0.5715879999999999,0.4916666666666667,0.6483359999999999,0.5292986666666667,0.4916666666666667,4.8
감귤박물관,0.415,0.6780339999999999,0.5065516,0.415,0.415,0.415,0.5174595999999999,0.415,4.1
거문오름,0.5320752,0.475,0.5628002666666666,0.6239210666666666,0.5930885333333332,0.5618295999999999,0.475,0.5984896,4.6
건강과성박물관,0.39214285714285724,0.5353799510204083,0.45440140408163265,0.5139292408163266,0.4017538285714286,0.42077475918367346,0.450589224489796,0.46523725714285713,3.6
검멀레해변,0.5015,0.5015,1.0668333333333333,1.6369666666666667,0.5015,0.5015,0.5015,1.6939,5.0
견월악목마장,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
곽지해수욕장,0.46,0.46,0.46,0.6319036,0.549199,0.5402395,0.46,0.46,4.5
관음사,0.5453760000000001,0.43500000000000005,0.43500000000000005,0.658182,0.43500000000000005,0.513066,0.43500000000000005,0.7396590000000001,4.2
광치기해변,0.5970875520000001,0.4650000000000001,0.4922716800000001,0.628218432,0.4650000000000001,0.4922813280000001,0.4650000000000001,0.6424138560000001,4.4
구엄리돌염전,0.451,0.93616,0.451,0.451,0.451,0.451,0.451,0.451,4.5
궷물오름,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
그리스신화박물관,0.37500000000000006,0.6084528,0.37500000000000006,0.5000784,0.37500000000000006,0.37500000000000006,0.4914815999999999,0.37500000000000006,3.7
금능해수욕장,0.586336048,0.47500000000000003,0.49820128,0.522053728,0.52216864,0.49717528000000005,0.47500000000000003,0.5942841280000001,4.5
